,Year,State,Population,Deaths Per 100k,City,# Killed,# Injured,# Victims,Gun Law Rank,Safety Grade,Incident Date
201,2014,Texas,26964333,12.22,Houston,0,6,6,34,F,5/3/2014
202,2014,Illinois,12884493,10.78,Chicago,0,4,4,8,A,4/30/2014
203,2014,Georgia,10067278,15.72,Kennesaw,1,6,7,32,F,4/29/2014
204,2014,New York,19651049,4.03,Troy,0,5,5,4,A,4/27/2014
205,2014,Tennessee,6541223,17.82,Memphis,2,3,5,29,D,4/25/2014
206,2014,California,38596972,7.45,Los Angeles,1,3,4,1,A,4/22/2014
207,2014,Illinois,12884493,10.78,Montgomery,0,6,6,8,A,4/20/2014
208,2014,Florida,19845911,12.81,Tampa,2,2,4,22,C,4/20/2014
209,2014,Illinois,12884493,10.78,Chicago,0,5,5,8,A,4/20/2014
210,2014,District of Columbia,662328,,Washington,0,4,4,,,4/14/2014
211,2014,Louisiana,4644013,21.31,New Orleans,1,3,4,32,F,4/12/2014
212,2014,Indiana,6593644,14.71,Richmond,0,4,4,28,D,4/11/2014
213,2014,Illinois,12884493,10.78,Rockford,0,5,5,8,A,4/9/2014
214,2014,Tennessee,6541223,17.82,Lookout Valley,3,1,4,29,D,4/9/2014
215,2014,Louisiana,4644013,21.31,New Orleans,0,4,4,32,F,4/7/2014
216,2014,Massachusetts,6762596,3.46,Springfield,0,4,4,7,A,4/6/2014
217,2014,Oklahoma,3878187,16.71,Oklahoma City,0,4,4,40,F,4/6/2014
218,2014,Illinois,12884493,10.78,Chicago,1,5,6,8,A,4/5/2014
219,2014,Arizona,6730413,15.29,Phoenix,1,3,4,45,F,4/5/2014
220,2014,California,38596972,7.45,Fairfield,0,4,4,1,A,4/5/2014
221,2014,Texas,26964333,12.22,Fort Hood,4,16,20,34,F,4/2/2014
222,2014,North Carolina,9932887,13.26,Charlotte,0,5,5,24,D,3/30/2014
223,2014,Mississippi,2990468,22.81,Starkville,0,5,5,50,F,3/30/2014
224,2014,Texas,26964333,12.22,Arlington,1,3,4,34,F,3/23/2014
225,2014,California,38596972,7.45,San Francisco,0,7,7,1,A,3/23/2014
226,2014,California,38596972,7.45,Long Beach,1,3,4,1,A,3/23/2014
227,2014,South Carolina,4823617,17.51,North Charleston,0,4,4,31,F,3/21/2014
228,2014,Texas,26964333,12.22,Beaumont,3,1,4,34,F,3/16/2014
229,2014,Georgia,10067278,15.72,Waynesboro,0,4,4,32,F,3/16/2014
230,2014,New York,19651049,4.03,Brooklyn,0,4,4,4,A,3/14/2014
